amfi_code,sharpe_ratio,VaR_95
100016,0.2453,-0.0144
100025,1.0973,-0.0038
100033,1.4369,-0.019
101206,1.4734,-0.0133
101207,0.4146,-0.026
101208,12.0192,-0.0003
102885,1.3235,-0.0126
102886,0.1526,-0.0192
102887,1.032,-0.0152
118632,1.5411,-0.014
118633,1.1096,-0.0134
118634,0.7059,-0.0254
118635,1.1655,-0.0126
118636,1.2743,-0.0038
119092,0.4967,-0.0137
119093,0.5945,-0.0142
119094,1.3332,-0.0185
119095,0.1833,-0.0262
119120,1.4119,-0.0039
119551,1.6813,-0.0128
119552,1.4196,-0.0135
119598,1.2039,-0.0245
119599,0.2033,-0.0269
120503,1.2661,-0.0136
120504,1.4791,-0.0137
120505,1.517,-0.0189
120506,1.0757,-0.0144
120507,13.6559,-0.0002
120841,0.977,-0.0131
120842,0.4392,-0.0182
120843,1.7159,-0.0145
120844,12.574,-0.0003
125497,1.2189,-0.0146
125498,0.6548,-0.0184
148567,1.9062,-0.0136
148568,1.3476,-0.0147
148569,1.6027,-0.0171
149322,0.9169,-0.0145
149323,1.4984,-0.0179
149324,1.2115,-0.0235
